name,nig,h,m,s,dd,dm,ds,V,B,kkk
*   8 Cnc,--,8,5,4.489,13,7,5.59,5.136,5.141,
HD  67341,--,8,5,20.303,-46,58,42.27,6.159,6.019,
HD  66684,--,8,5,37.056,27,31,47.04,6.21,6.22,
HD  67243,--,8,5,44.885,-33,34,9.96,6.141,7.23,
HD  66950,--,8,5,49.637,0,34,23.89,6.399,7.455,
* mu.01 C,nc               ,8,6,18.395,22,38,7.76,5.99,7.65,
HD  67159,--,8,6,27.413,-9,14,40.05,6.226,6.19,
HD  67582,--,8,6,40.34,-45,15,57.65,5.021,6.502,
HD  67621,--,8,6,41.608,-48,29,50.59,6.317,6.143,
*  28 Lyn,--,8,7,9.949,43,15,37.3,6.35,6.32,
HD  67408,--,8,7,16.005,-17,22,7.47,6.5,7.75,
HD  67456,--,8,7,18.04,-20,33,15.64,5.338,5.423,
* rho Pup,--,8,7,32.649,-24,18,15.57,2.81,3.24,
* mu.02 C,nc               ,8,7,45.856,21,34,54.53,5.3,5.93,
* eps Vol,--,8,7,55.794,-68,37,1.43,4.398,4.27,
HD  68423,--,8,8,24.64,-63,48,2.95,6.314,6.248,
*  27 Lyn,--,8,8,27.446,51,30,24.01,4.797,4.819,
* zet Mon,--,8,8,35.647,-2,59,1.64,4.33,5.3,
HD  67888,--,8,8,37.642,-37,40,52.4,6.339,6.282,
*  12 Cnc,--,8,8,42.447,13,38,27.33,6.242,6.712,
HD  67751,--,8,8,43.58,-20,21,47.41,6.365,6.497,
HD  67725,--,8,8,56.846,-11,20,22.75,6.305,6.305,
HD  68456,--,8,9,0.57,-61,18,8.58,4.76,5.19,
*  16 Pup,--,8,9,1.637,-19,14,42.05,4.393,4.239,
HD  68161,--,8,9,9.507,-48,41,3.87,5.654,5.544,
HD  67977,--,8,9,10.189,-35,27,18.06,6.209,7.1,
HD  67370,--,8,9,23.053,42,25,50.2,6.255,7.535,
HD  67880,--,8,9,28.534,-16,14,56.1,5.65,5.491,
* gam02 V,el               ,8,9,31.95,-47,20,11.71,1.83,1.58,
HD  68434,--,8,9,33.623,-56,5,7.28,5.648,5.852,
HD  67542,--,8,9,35.183,29,5,35.08,6.465,7.259,
HD  68217,--,8,9,35.911,-44,7,21.99,5.183,5.01,
V* IS Vel,--,8,9,43.154,-47,56,13.89,5.217,5.017,
HD  67224,--,8,10,3.777,58,14,53.69,5.89,7.28,
*  13 Cnc,--,8,10,13.107,25,50,40.13,6.413,7.829,
HD  68478,--,8,10,20.57,-49,14,14.49,6.447,6.3,
*  18 Pup,--,8,10,39.826,-13,47,57.14,5.54,6.03,
HD  67959,--,8,10,58.885,14,37,46.11,6.207,6.217,
HD  68450,--,8,11,1.683,-37,17,32.54,6.44,6.42,
HD  68657,--,8,11,10.789,-48,27,43.17,5.806,5.66,
*  19 Pup,--,8,11,16.306,-12,55,37.2,4.72,5.68,
HD  68099,--,8,11,16.599,9,49,16.48,6.072,5.956,
HD  67539,--,8,11,18.079,54,32,24.87,6.48,7.44,
* h01 Pup,--,8,11,21.492,-39,37,6.77,4.42,6.03,
HD  68601,--,8,11,25.892,-42,59,14.2,4.75,4.93,
HD  68312,--,8,11,33.004,-7,46,21.13,5.354,6.259,
V* AH Vel,--,8,11,59.967,-46,38,39.66,5.76,6.35,
HD  68763,--,8,12,6.058,-43,24,1.58,6.47,8.22,
HD  68895,--,8,12,30.793,-46,15,51.43,6.012,5.9,
*  55 Cam,--,8,12,48.788,68,28,26.67,5.329,6.352,
HD  68862,--,8,12,51.555,-37,55,28.11,6.39,6.51,
HD  68461,--,8,12,59.735,16,30,51.6,6.047,6.918,
*  15 Cnc,--,8,13,8.87,29,39,23.58,5.605,5.541,
*  20 Pup,--,8,13,19.967,-15,47,17.6,4.99,6.06,
HD  68667,--,8,13,21.775,-1,9,57.19,6.47,7.4,
* r Pup  ,--,8,13,29.517,-35,53,58.27,4.77,4.66,
HD  69194,--,8,13,34.247,-50,11,45.87,5.514,7.13,
V* NO Vel,--,8,13,36.153,-46,59,29.85,5.127,4.981,
HD  69002,--,8,13,41.075,-33,34,10.3,6.377,7.537,
HD  69168,--,8,13,45.651,-46,34,43.27,6.476,6.321,
HD  68077,--,8,13,50.185,56,27,8.11,5.85,6.863,
HD  69081,--,8,13,58.313,-36,19,20.2,5.064,4.875,
HD  69082,--,8,13,58.7,-36,20,26.8,6.014,5.848,
* h02 Pup,--,8,14,2.943,-40,20,52.47,4.44,5.61,
HD  69080,--,8,14,11.034,-32,8,26.56,6.06,5.91,
HD  68703,--,8,14,11.14,17,40,33.44,6.47,6.771,
