name,nig,h,m,s,dd,dm,ds,V,B,kkk
HD 113852,--,13,6,54.246,-35,51,43.37,5.63,5.672,
* ksi02 C,en               ,13,6,54.639,-49,54,22.48,4.27,4.08,
*  41 Com,--,13,7,10.73,27,37,29.06,4.69,6.22,
HD 113823,--,13,7,24.297,-59,51,37.82,5.98,6.45,
HD 113902,--,13,7,38.283,-53,27,35.14,5.698,5.629,
HD 114092,--,13,7,53.634,27,33,21.45,6.14,7.5,
*  49 Vir,--,13,7,53.812,-10,44,25.47,5.151,6.281,
* tet Mus,--,13,8,7.153,-65,18,21.68,5.53,5.5,
HD 113694,--,13,8,20.402,-78,26,45.69,6.42,6.43,
HD 113919,--,13,8,27.827,-67,47,48.35,6.34,8.02,
* g Vir  ,--,13,8,32.466,-8,59,3.78,5.564,6.753,
* psi Hya,--,13,9,3.264,-23,7,4.96,4.934,5.98,
HD 114256,--,13,9,12.435,10,1,20.89,5.782,6.816,
HD 114203,--,13,9,14.238,-9,32,17.15,6.32,7.33,
HD 114357,--,13,9,38.651,37,25,23.23,5.99,7.16,
*  15 CVn,--,13,9,42.024,38,32,1.46,6.28,6.16,
*  50 Vir,--,13,9,45.282,-10,19,45.63,5.943,7.436,
HD 114326,--,13,9,47.848,16,50,55,5.87,7.32,
* tet Vir,--,13,9,56.984,-5,32,20.47,4.397,4.385,
*  17 CVn,--,13,10,3.216,38,29,56.33,5.91,6.209,
V* V824 C,en               ,13,10,58.433,-52,34,0.84,6.026,5.943,
HD 114435,--,13,11,8.88,-42,13,58.45,5.772,6.276,
HD 114474,--,13,11,23.216,-43,22,6.79,5.231,6.287,
HD 114576,--,13,11,39.198,-26,33,6.2,6.5,6.69,
HD 114371,--,13,11,51.44,-69,56,31.26,5.906,6.318,
* bet Com,--,13,11,52.394,27,52,41.45,4.25,4.84,
HD 114461,--,13,11,53.064,-63,18,10.8,6.338,6.725,
*  53 Vir,--,13,12,3.544,-16,11,54.98,5.04,5.5,
HD 114613,--,13,12,3.183,-37,48,10.88,4.85,5.55,
HD 114724,--,13,12,8.408,24,15,28.9,6.29,7.29,
V* V831 C,en               ,13,12,17.595,-59,55,14.08,4.593,4.5,
HD 115337,--,13,12,25.431,80,28,16.71,6.329,7.335,
HD 114780,--,13,12,32.92,11,33,21.96,5.77,7.28,
HD 114793,--,13,12,35.909,18,45,6.3,6.49,7.35,
HD 114570,--,13,12,48.802,-66,13,36.29,5.897,5.943,
HD 114707,--,13,12,50.838,-42,41,59,6.184,7.236,
HD 114630,--,13,12,55.693,-59,48,59.75,6.22,6.79,
HD 114772,--,13,13,23.353,-50,41,59.37,5.899,5.886,
HD 115004,--,13,13,42.942,40,9,10.38,4.94,5.99,
HD 114873,--,13,13,57.68,-43,8,20.79,6.147,7.53,
*  55 Vir,--,13,14,10.896,-19,55,51.41,5.33,6.2,
HD 114835,--,13,14,12.087,-58,41,2.17,5.9,6.999,
HD 114837,--,13,14,15.146,-59,6,11.65,4.93,5.41,
HD 114533,--,13,14,17.329,-78,26,50.83,5.839,6.882,
V* LN Vir,--,13,14,31.284,11,19,53.96,5.67,7.17,
HD 114971,--,13,14,43.266,-48,57,25.29,5.831,6.906,
HD 115050,--,13,15,9.458,-36,22,17.08,6.167,7.147,
* eta Mus,--,13,15,14.941,-67,53,40.53,4.78,4.687,
HD 114912,--,13,15,25.598,-69,40,45.41,6.371,7.585,
*  19 CVn,--,13,15,31.953,40,51,18.75,5.777,5.962,
*  57 Vir,--,13,15,58.771,-19,56,35.16,5.22,6.25,
HD 115319,--,13,16,14.287,19,3,6.24,6.45,7.42,
HD 115612,--,13,16,28.637,68,24,28.8,6.189,6.134,
HD 115365,--,13,16,32.265,19,47,7.06,6.423,6.704,
HD 115149,--,13,16,44.912,-65,8,17.71,6.08,6.5,
* r Cen  ,--,13,16,53.132,-31,30,22.33,5.11,6.072,
HD 115211,--,13,17,13.011,-66,47,0.38,4.846,6.326,
HD 115331,--,13,17,13.936,-43,58,46.22,5.803,6.012,
HD 115478,--,13,17,15.628,13,40,32.7,5.33,6.63,
HR  5014 ,--,13,17,29.853,0,40,33.86,6.351,6.601,
*  20 CVn,--,13,17,32.541,40,34,21.39,4.698,5.01,
* sig Vir,--,13,17,36.283,5,28,11.52,4.8,6.47,
*  21 CVn,--,13,18,14.51,49,40,55.42,5.15,5.08,
*  61 Vir,--,13,18,24.314,-18,18,40.3,4.74,5.44,
HD 115723,--,13,18,27.728,34,5,53.91,5.78,7.14,
HD 115529,--,13,18,34.866,-51,17,8.81,6.173,6.163,
HD 115088,--,13,18,48.275,-79,58,33.66,6.33,6.31,
* gam Hya,--,13,18,55.297,-23,10,17.45,3,3.92,
HD 115810,--,13,19,4.251,35,7,40.73,6.02,6.26,
HD 115439,--,13,19,18.982,-72,2,8.17,6.044,7.389,
*  23 CVn,--,13,20,18.951,40,9,1.97,5.6,6.82,
HD 115778,--,13,20,35.028,-59,46,22.01,6.193,6.596,
* iot Cen,--,13,20,35.817,-36,42,44.24,2.73,2.76,
V* V964 C,en               ,13,20,37.826,-52,44,52.17,5.443,5.314,
CCDM J132,07+0257AB        ,13,20,41.569,2,56,32.25,6.33,6.41,
HD 115842,--,13,20,48.339,-55,48,2.48,6.09,6.39,
HD 115912,--,13,20,57.701,-46,52,48.03,5.742,6.861,
HD 116061,--,13,21,29.77,-19,29,21.46,6.21,6.3,
HD 116160,--,13,21,41.645,2,5,14.06,5.687,5.732,
HD 116303,--,13,22,3.925,43,54,12.06,6.332,6.585,
*  64 Vir,--,13,22,9.705,5,9,17.13,5.873,5.989,
HD 116084,--,13,22,16.287,-52,10,58.63,5.91,6.02,
* J Cen  ,--,13,22,37.936,-60,59,18.22,4.509,4.369,
HD 116197,--,13,22,52.514,-47,56,35.59,6.241,6.437,
HD 115967,--,13,22,52.587,-72,8,48.16,6.051,6.098,
*  63 Vir,--,13,23,1.115,-17,44,6.99,5.354,6.349,
HD 116226,--,13,23,2.599,-48,33,46.04,6.36,6.272,
HD 116278,--,13,23,8.632,-33,11,23.56,6.21,7.85,
*  65 Vir,--,13,23,18.894,-4,55,27.94,5.858,7.304,
HD 116338,--,13,23,52.114,-49,49,22.12,6.464,7.43,
V* CL CVn,--,13,23,53.93,37,2,2.11,6.14,7.79,
HD 116429,--,13,23,57.083,-20,55,28.54,6.49,7.6,
* m Cen  ,--,13,24,0.481,-64,32,8.41,4.52,5.35,
HD 116594,--,13,24,30.532,12,25,54.67,6.44,7.5,
*  66 Vir,--,13,24,33.248,-5,9,50.16,5.749,6.167,
HD 116706,--,13,25,6.678,23,51,15.91,5.745,5.829,
* iot01 M,us               ,13,25,7.119,-74,53,16.15,5.04,6.147,
* alf Vir,--,13,25,11.579,-11,9,40.75,0.97,0.74,
* g UMa  ,--,13,25,13.538,54,59,16.65,4.01,4.18,
HD 116457,--,13,25,13.926,-64,29,6.53,5.312,5.704,
*  67 Mus,--,13,25,50.301,-70,37,38.09,5.651,5.626,
HD 116713,--,13,26,7.799,-39,45,18.46,5.09,6.29,
HD 117187,--,13,26,8.065,72,23,29.31,5.79,7.42,
HD 116831,--,13,26,11.416,-1,11,32.9,5.965,6.153,
HD 116957,--,13,26,16.602,46,1,41.01,5.873,6.868,
* i Vir  ,--,13,26,43.168,-12,42,27.6,5.25,6.77,
HD 116835,--,13,26,56.116,-41,29,51.22,5.656,7.163,
HD 117566,--,13,26,56.806,78,38,37.93,5.742,6.501,
HD 116836,--,13,27,6.386,-49,8,37.35,6.31,6.31,
HD 116873,--,13,27,14.67,-40,9,45.58,6.405,7.393,
HD 116862,--,13,27,20.655,-49,22,52.65,6.257,6.126,
*  69 Vir,--,13,27,27.163,-15,58,24.9,4.75,5.85,
HD 117242,--,13,27,59.629,52,44,44.12,6.345,6.587,
HD 117033,--,13,28,1.881,-26,24,8.05,6.49,8.1,
HD 117281,--,13,28,11.79,50,35,14.24,6.43,6.81,
*  70 Vir,--,13,28,25.808,13,46,43.64,4.97,5.68,
HD 117261,--,13,28,26.241,40,43,46.72,6.49,7.425,
HD 117376,--,13,28,27.087,59,56,44.83,5.4,5.39,
HD 117361,--,13,28,45.831,50,43,6.87,6.417,6.807,
V* EZ Mus,--,13,28,46.789,-69,37,37.64,6.179,6.163,
HD 117025,--,13,29,7.913,-64,40,33.03,6.07,6.2,
*  71 Vir,--,13,29,13,10,49,5.91,5.646,6.718,
HD 117267,--,13,29,14.916,-1,21,51.94,6.419,7.544,
* K Cen  ,--,13,29,25.255,-51,9,54.5,5.03,5.081,
V* R Hya ,--,13,29,42.782,-23,16,52.77,4.97,6.58,
HD 117404,--,13,30,0.081,7,10,43.87,6.167,7.65,
*  72 Vir,--,13,30,25.725,-6,28,12.96,6.098,6.419,
* d Cen  ,--,13,31,2.657,-39,24,26.3,3.88,5.04,
HD 117710,--,13,31,15.766,42,6,22.15,6.065,7.158,
HD 117558,--,13,31,33.168,-28,6,45.86,6.478,6.556,
V* V659 C,en               ,13,31,33.41,-61,34,56.51,6.49,7.19,
* l Vir  ,--,13,31,57.885,-6,15,20.94,4.69,6.29,
*  73 Vir,--,13,32,2.806,-18,43,43.96,5.998,6.207,
HD 117597,--,13,32,5.422,-38,23,55.87,6.148,7.185,
HD 117718,--,13,32,34.467,-29,33,54.94,6.436,6.881,
HD 117716,--,13,32,35.898,-28,41,33.97,5.69,5.73,
*  75 Vir,--,13,32,51.642,-15,21,46.85,5.529,6.76,
* h Vir  ,--,13,32,58.072,-10,9,54.01,5.21,6.17,
HD 117651,--,13,33,35.87,-65,37,57.67,6.354,6.333,
*  81 UMa,--,13,34,7.306,55,20,54.36,5.588,5.569,
* o Vir  ,--,13,34,7.932,3,39,32.27,4.94,4.96,
HD 118156,--,13,34,21.866,38,47,21.35,6.37,6.58,
*  24 CVn,--,13,34,27.259,49,0,57.51,4.7,4.82,
HD 117919,--,13,34,28.957,-48,16,19.78,6.319,6.267,
HD 118054,--,13,34,40.45,-13,12,51.57,5.932,5.956,
* zet Vir,--,13,34,41.593,0,35,45.01,3.38,3.5,
HD 118686,--,13,34,42.753,76,32,48.16,6.47,8.06,
HD 118010,--,13,34,43.576,-33,18,39.08,6.462,7.715,
V* BH CVn,--,13,34,47.809,37,10,56.69,4.98,5.38,
*  80 Vir,--,13,35,31.297,-5,23,46.29,5.706,6.661,
HD 118266,--,13,35,33.426,10,12,17.86,6.486,7.538,
HD 118536,--,13,36,39.898,49,29,11.94,6.46,7.66,
HD 118349,A                ,13,36,48.454,-26,29,42.71,5.78,6,
HD 118319,--,13,36,50.571,-34,28,4.21,6.476,7.497,
HD 118508,--,13,36,59.082,24,36,47.86,5.69,7.28,
HD 118338,--,13,37,6.011,-44,8,35.54,5.957,6.906,
HD 118904,--,13,37,10.988,71,14,32.11,5.496,6.711,
HD 118261,--,13,37,12.382,-61,41,30.71,5.63,6.13,
HD 118354,--,13,37,23.479,-46,25,40.41,5.889,5.787,
*  25 CVn,--,13,37,27.628,36,17,41.63,4.82,5.05,
CCDM J133,77+5043AB        ,13,37,42.928,50,42,53.43,6.45,8.01,
HD 118384,--,13,38,7.626,-58,24,52.72,6.454,7.601,
HD 118660,--,13,38,7.888,14,18,6.93,6.489,6.75,
HD 118646,--,13,38,42.071,-29,33,39.13,5.81,6.221,
HD 118344,--,13,38,45.716,-70,26,41.39,6.097,7.527,
HD 118520,--,13,38,48.952,-57,37,21.77,6,7.125,
HD 118839,--,13,39,2.285,18,15,55.15,6.46,7.66,
HD 118285,--,13,39,11.991,-75,41,1.61,6.323,6.306,
HD 118970,--,13,39,14.91,51,48,15.17,6.48,7.85,
*  82 UMa,--,13,39,30.448,52,55,16.35,5.456,5.568,
HD 118889,--,13,39,34.616,10,44,46.58,5.58,5.912,
V* V765 C,en               ,13,39,40.843,-39,44,51.31,6.36,7.96,
HD 118799,--,13,39,48.548,-40,3,6.15,5.603,6.909,
* eps Cen,--,13,39,53.258,-53,27,59.01,2.3,2.08,
V* V744 C,en               ,13,39,59.807,-49,56,59.84,6,7.5,
HD 118666,--,13,40,10.707,-64,34,35.59,5.785,6.175,
HD 119035,--,13,40,15.578,31,0,43.33,6.2,7.17,
V* CQ UMa,--,13,40,21.385,57,12,27.38,6.273,6.38,
HD 119124,--,13,40,23.232,50,31,9.9,6.32,6.84,
HD 119081,--,13,40,39.078,28,3,54.58,6.18,7.48,
*   1 Boo,--,13,40,40.469,19,57,20.58,5.76,5.77,
*  83 UMa,--,13,40,44.273,54,40,53.89,4.66,6.29,
* kap Oct,--,13,40,55.46,-85,47,9.76,5.555,5.731,
*   2 Boo,--,13,41,2.347,22,29,44.77,5.58,6.59,
HD 119476,--,13,41,29.893,64,49,20.68,5.85,5.93,
* m Vir  ,--,13,41,36.77,-8,42,10.73,5.01,6.64,
* Q Cen  ,--,13,41,44.772,-54,33,33.93,5.01,4.96,
V* T Cen ,--,13,41,45.564,-33,35,50.56,6.05,7.49,
HD 118978,--,13,42,1.085,-58,47,13.49,5.372,5.338,
HD 120565,--,13,42,23.188,82,45,8.71,5.913,6.918,
HD 119445,--,13,42,28.806,41,40,27.43,6.289,7.178,
HD 120084,--,13,42,39.203,78,3,51.98,5.899,6.916,
HD 119458,--,13,42,43.431,34,59,20.48,5.96,6.82,
HD 119193,--,13,42,54.633,-50,47,24.84,6.41,8.073,
HD 119250,--,13,42,54.999,-41,24,3.93,5.956,6.981,
HD 119159,--,13,42,56.11,-56,46,4.69,6,5.92,
HD 119361,--,13,43,40.08,-42,4,3.03,5.965,5.892,
HD 119584,--,13,43,45.164,22,42,1.53,6.09,7.54,
HD 119537,--,13,43,54.238,-5,29,56.18,6.498,6.559,
HD 119765,--,13,43,54.778,52,3,51.89,6.018,6.027,
HD 119283,--,13,43,57.346,-59,14,9.56,6.49,6.46,
V* V827 C,en               ,13,44,16.003,-51,0,44.83,6.44,6.323,
*  83 Vir,--,13,44,29.827,-16,10,44.66,5.567,6.35,
HD 119623,--,13,44,45.664,-25,30,3.36,6.205,7.581,
HD 119784,--,13,45,13.435,10,19,31.11,6.41,7.66,
*  85 Vir,--,13,45,35.067,-15,46,2.88,6.179,6.22,
HD 119752,--,13,45,36.892,-26,6,57.64,5.795,5.814,
* i Cen  ,--,13,45,41.245,-33,2,37.4,4.23,4.61,
*  86 Vir,--,13,45,56.319,-12,25,35.49,5.557,6.496,
HD 120047,--,13,46,13.546,41,5,19.48,5.877,6.085,
HD 119727,--,13,46,14.495,-54,41,0.11,6.42,6.52,
HD 120048,--,13,46,19.062,38,30,13.04,5.919,6.868,
*  84 UMa,--,13,46,35.657,54,25,57.64,5.675,5.632,
* M Cen  ,--,13,46,39.378,-51,25,57.95,4.632,5.586,
*   3 Boo,--,13,46,43.324,25,42,8.05,5.965,6.47,
* z Cen  ,--,13,46,56.351,-36,15,6.96,5.147,5.137,
HD 120164,--,13,46,59.775,38,32,33.71,5.501,6.553,
HD 120033,--,13,47,13.393,-9,42,33.99,6.049,7.472,
* tau Boo,--,13,47,15.743,17,27,24.86,4.49,4.98,
*  87 Vir,--,13,47,25.392,-17,51,35.43,5.43,7.05,
HD 119938,--,13,47,27.64,-50,14,57.44,5.91,6.179,
* eta UMa,--,13,47,32.438,49,18,47.76,1.86,1.67,
HD 119971,--,13,47,38.539,-50,19,14.48,5.446,6.791,
HD 120420,--,13,48,38.735,31,11,24.74,5.57,6.59,
* g Cen  ,--,13,49,26.722,-34,27,2.79,4.19,5.69,
* ups Boo,--,13,49,28.641,15,47,52.46,4.07,5.59,
* nu. Cen,--,13,49,30.276,-41,41,15.75,3.386,3.188,
* mu. Cen,--,13,49,36.989,-42,28,25.43,3.43,3.27,
* e Boo  ,--,13,49,42.822,21,15,50.86,4.91,6.33,
HD 120600,--,13,49,44.923,36,37,58.2,6.43,6.67,
HD 120787,--,13,49,45.519,61,29,21.5,5.964,6.928,
*  89 Vir,--,13,49,52.283,-18,8,3.01,4.959,6.018,
HD 120455,--,13,50,6.508,-29,4,52.77,6.186,6.171,
HD 120457,--,13,50,19.396,-39,54,3.09,6.431,7.446,
HD 120602,--,13,50,24.678,5,29,50,5.993,6.892,
HD 120874,--,13,50,27.744,58,32,22.05,6.46,6.54,
HD 120819,--,13,51,9.215,34,39,51.83,5.87,7.49,
HD 120690,--,13,51,20.342,-24,23,25.84,6.43,7.133,
* i Dra  ,--,13,51,25.939,64,43,23.77,4.66,6.23,
HD 120672,--,13,51,36.495,-36,25,59.81,6.347,6.823,
HD 120640,--,13,51,47.216,-46,53,55.2,5.752,5.598,
HD 120404,--,13,51,47.434,-69,24,4.52,5.727,7.459,
V* AW CVn,--,13,51,47.475,34,26,39.26,4.74,6.4,
HD 120759,--,13,52,0.98,-31,37,9.15,6.12,6.6,
HD 120642,--,13,52,4.862,-52,48,41.5,5.257,5.161,
HD 120934,--,13,52,18.406,12,9,54.5,6.098,6.138,
HD 121197,--,13,53,8.436,40,20,16.71,6.479,8.068,
HD 121164,--,13,53,10.282,28,38,53.28,5.909,6.102,
* h Cen  ,--,13,53,12.538,-31,55,39.42,4.73,4.59,
*   7 Boo,--,13,53,12.93,17,55,58.33,5.709,6.551,
HD 120908,--,13,53,43.094,-53,22,23.96,5.873,5.86,
*  86 UMa,--,13,53,51.014,53,43,43.23,5.695,5.658,
HD 121056,--,13,53,52.061,-35,18,51.68,6.19,7.21,
HD 120991,--,13,53,57.24,-47,7,41.37,6.1,6.03,
HD 121156,--,13,54,16.64,-28,34,10.61,6.045,7.182,
* eta Boo,--,13,54,41.079,18,23,51.79,2.68,3.25,
* p Vir  ,--,13,54,42.145,-1,30,11.24,5.159,6.258,
HD 120913,--,13,54,49.11,-67,39,7.57,5.705,7.199,
HD 121190,--,13,55,12.142,-52,9,38.95,5.71,5.63,
* zet Cen,--,13,55,32.386,-47,17,18.15,2.55,2.33,
HD 120213,--,13,55,38.875,-82,39,58.29,5.94,7.39,
HD 121682,--,13,56,10.46,32,1,57.34,6.3,6.69,
HD 121416,--,13,56,19.776,-46,35,34.62,5.815,6.955,
*  92 Vir,--,13,56,27.877,1,3,2.09,5.898,6.117,
HD 121384,--,13,56,32.946,-54,42,16.8,6.01,6.78,
*   9 Boo,--,13,56,34.18,27,29,31.49,5,6.44,
HD 121699,--,13,57,27.725,-23,1,21.47,6.132,7.549,
HD 121474,--,13,57,38.882,-63,41,12.11,4.701,5.802,
HD 121758,--,13,57,58.876,-25,59,53.09,6.42,7.71,
* phi Cen,--,13,58,16.267,-42,6,2.71,3.802,3.608,
*  47 Hya,--,13,58,31.146,-24,58,20.1,5.15,5.05,
HD 121557,--,13,58,31.237,-65,48,2.4,6.24,7.31,
*  10 Boo,--,13,58,38.921,21,41,46.33,5.748,5.743,
HD 121980,--,13,58,39.907,14,38,57.39,5.999,7.432,
* ups01 C,en               ,13,58,40.749,-44,48,12.91,3.87,3.67,
HD 121853,--,13,59,17.484,-50,22,10.74,5.927,6.876,
HD 122106,--,13,59,49.276,-3,32,59.31,6.394,6.884,
*  48 Hya,--,14,0,0.121,-25,0,37.46,5.77,6.25,
HD 121901,--,14,0,17.391,-61,28,51.7,6.469,6.793,
HD 121439,--,14,0,32.812,-78,35,23.93,6.079,6.084,
HD 121932,--,14,0,52.444,-66,16,8.08,5.948,6.3,
*  11 Boo,--,14,1,10.481,27,23,11.75,6.221,6.41,
HD 122210,--,14,1,19.056,-40,13,18.99,6.108,7.373,
HD 122365,--,14,1,20.427,8,53,41.62,5.973,6.058,
HD 122443,--,14,1,36.81,17,40,6.2,6.384,7.554,
* tau Vir,--,14,1,38.793,1,32,40.31,4.237,4.331,
* ups02 C,en               ,14,1,43.501,-45,36,12.14,4.33,4.92,
HD 122909,--,14,1,50.65,68,40,43.23,6.329,7.751,
HD 122675,--,14,2,12.189,45,45,12.45,6.269,7.634,
HD 122430,--,14,2,22.782,-27,25,47.2,5.469,6.799,
HD 122563,--,14,2,31.846,9,41,9.94,6.19,7.1,
HD 122866,--,14,2,59.758,50,58,18.51,6.15,6.16,
HD 122577,--,14,3,4.07,-17,22,1.25,6.31,7.69,
HD 122438,--,14,3,26.507,-56,12,48.36,5.923,7.138,
V* V828 C,en               ,14,3,27.468,-41,25,24.04,6.088,5.986,
HD 122744,--,14,3,36.767,7,32,46.22,6.239,7.186,
* bet Cen,--,14,3,49.405,-60,22,22.93,0.6,0.38,
HD 122703,--,14,3,53.09,-22,25,17.75,6.299,6.752,
HD 122797,--,14,3,55.754,4,54,3.49,6.238,6.62,
HD 122815,--,14,4,14.561,-5,22,53.11,6.387,7.717,
* alf Dra,--,14,4,23.35,64,22,33.06,3.68,3.64,
HD 122837,--,14,4,26.98,-14,58,18.13,6.344,7.441,
HD 122910,--,14,4,37.427,2,17,51.11,6.27,7.308,
* tet Aps,--,14,5,19.878,-76,47,48.32,5.5,7.05,
V* V992 C,en               ,14,5,46.476,-54,40,9.71,6.204,6.433,
* chi Cen,--,14,6,2.768,-41,10,46.68,4.343,4.155,
HD 123004,--,14,6,10.905,-43,5,30.13,6.176,7.171,
* pi. Hya,--,14,6,22.297,-26,40,56.5,3.28,4.41,
HD 122879,--,14,6,25.158,-59,42,57.25,6.5,6.64,
* tet Cen,--,14,6,40.948,-36,22,11.84,2.05,3.04,
*  95 Vir,--,14,6,42.823,-9,18,48.66,5.453,5.807,
*   3 UMi,--,14,6,56.365,74,35,37.62,6.44,6.58,
HD 123247,--,14,7,40.808,-48,42,14.5,6.418,6.415,
V* BY Boo,--,14,7,55.756,43,51,16.03,5.28,6.86,
HD 123151,--,14,8,14.296,-63,12,28.62,6.389,7.399,
*  13 Boo,--,14,8,17.302,49,27,29.4,5.25,6.9,
HD 122862,--,14,8,27.162,-74,51,1.03,6.02,6.6,
HD 123977,--,14,8,46.046,59,20,15.53,6.471,7.497,
*   4 UMi,--,14,8,50.919,77,32,50.98,4.805,6.177,
HD 123445,--,14,8,51.886,-43,28,14.8,6.17,6.11,
V* V883 C,en               ,14,8,56.253,-59,16,36.15,6.339,6.352,
*  96 Vir,--,14,9,0.593,-10,20,4.37,6.46,7.455,
V* V869 C,en               ,14,9,35.032,-51,30,16.83,5.961,5.913,
HD 123569,--,14,9,54.815,-53,26,20.22,4.736,5.675,
* d Boo  ,--,14,10,23.932,25,5,30.02,4.83,5.37,
HD 123377,--,14,10,30.9,-70,18,19.66,6.04,7.783,
V* ET Vir,--,14,10,50.487,-16,18,7.31,4.91,6.63,
HD 123492,--,14,11,1.878,-69,43,9.53,6.065,6.241,
HD 124186,--,14,11,15.121,32,17,45.21,6.129,7.393,
HD 124115,--,14,11,31.203,1,21,44.63,6.408,6.882,
HD 124730,--,14,12,4.011,69,25,57.18,5.24,6.82,
V* CU Vir,--,14,12,15.805,2,24,33.95,5.02,4.9,
HD 124162,--,14,12,24.567,-24,21,48.08,6.344,7.685,
*  50 Hya,--,14,12,46.023,-27,15,40.27,5.08,6.24,
* kap Vir,--,14,12,53.745,-10,16,25.33,4.21,5.53,
HD 124281,--,14,13,13.257,-26,36,44.31,6.236,7.289,
HD 124147,--,14,13,16.41,-53,39,56.38,5.575,6.966,
* kap02 B,oo               ,14,13,29.009,51,47,23.88,4.51,4.74,
V* V716 C,en               ,14,13,39.825,-54,37,32.26,6.09,6.13,
HD 124425,--,14,13,40.79,0,50,43.67,5.9,6.38,
HD 124553,--,14,14,21.309,-5,56,51.79,6.36,6.96,
HD 124755,--,14,14,23.548,41,31,7.53,6.227,7.296,
HD 124678,--,14,14,35.606,13,58,31.62,6.44,7.81,
HD 124713,--,14,14,40.963,21,52,24.23,6.377,6.57,
HD 124433,--,14,14,42.661,-41,50,14.97,5.613,6.535,
V* FS Vir,--,14,14,53.019,3,20,9.18,6.45,8.05,
HD 124367,--,14,14,57.14,-57,5,10.06,5.07,4.99,
HD 124576,--,14,15,1.25,-29,16,54.86,6.09,6.12,
HD 124454,--,14,15,21.31,-53,30,35.79,6.395,7.967,
HD 124683,--,14,15,24.085,-18,12,2.49,5.532,5.525,
HD 124580,--,14,15,38.685,-45,0,2.73,6.305,6.9,
* alf Boo,--,14,15,39.672,19,10,56.67,0.05,1.18,
* iot Vir,--,14,16,0.87,-6,0,1.96,4.08,4.6,
* iot Boo,--,14,16,9.93,51,22,2.03,4.75,4.95,
HD 124915,--,14,16,21.384,-6,37,17.56,6.434,6.715,
* lam Boo,--,14,16,23.019,46,5,17.9,4.18,4.26,
HD 125111,--,14,16,24.275,39,44,40.96,6.376,6.738,
HD 124931,--,14,16,30.161,-3,11,46.68,6.141,6.137,
HD 124471,--,14,16,38.715,-66,35,16.43,5.75,5.69,
HD 124973,--,14,16,48.734,-8,53,4.11,6.47,7.7,
HD 124099,--,14,16,55.148,-77,39,51.2,6.472,7.859,
HD 124990,--,14,17,3.79,-18,35,8.52,6.219,7.214,
HD 125349,--,14,17,21.139,51,18,26.41,6.195,6.245,
V* CY Boo,--,14,17,28.451,15,15,48.17,5.8,7.51,
HD 125406,--,14,17,49.199,48,0,7.21,6.316,6.771,
* A Boo  ,--,14,17,59.818,35,30,34.25,4.796,5.852,
HD 125184,--,14,18,0.727,-7,32,32.61,6.5,7.2,
* eta Aps,--,14,18,13.895,-81,0,27.93,4.889,5.13,
V* CS Vir,--,14,18,38.258,-18,42,57.48,5.9,5.9,
HD 125632,--,14,18,55.914,54,51,49.6,6.48,6.66,
HD 125276,--,14,19,0.896,-25,48,55.53,5.87,6.37,
* lam Vir,--,14,19,6.592,-13,22,15.95,4.52,4.66,
HD 125279,--,14,19,7.158,-27,8,28.14,6.34,7.95,
*  18 Boo,--,14,19,16.28,13,0,15.49,5.396,5.788,
HD 125283,--,14,19,23.88,-37,0,10.46,5.925,6.002,
* iot Lup,--,14,19,24.222,-46,3,29.14,3.529,3.355,
* ups Vir,--,14,19,32.48,-2,15,55.86,5.14,6.16,
HD 125489,--,14,19,40.95,0,23,3.61,6.179,6.377,
HD 125642,--,14,19,47.739,38,47,38.58,6.31,6.364,
HD 125158,--,14,19,51.502,-61,16,22.71,5.23,5.52,
HD 125490,--,14,19,53.204,-6,44,46.19,6.44,7.36,
HD 125658,--,14,20,8.668,30,25,44.87,6.445,6.598,
HR  5362 ,--,14,20,9.701,-43,3,31.84,5.56,6.48,
* v Cen  ,--,14,20,19.543,-56,23,11.39,4.35,4.47,
* psi Cen,--,14,20,33.432,-37,53,7.06,4.034,4.006,
HD 125442,--,14,20,42.581,-45,11,13.42,4.77,5.08,
HD 125745,--,14,22,19.72,-34,47,12.45,5.568,5.467,
* eps Aps,--,14,22,23.165,-80,6,32.21,5.052,4.935,
* a Cen  ,--,14,23,2.239,-39,30,42.55,4.42,4.24,
* k Hya  ,--,14,23,5.774,-27,45,14.46,4.75,6.06,
HD 126053,--,14,23,15.285,1,14,29.64,6.27,6.9,
HD 125809,--,14,23,15.353,-47,25,1.06,6.39,7.66,
HD 125810,--,14,23,20.252,-50,46,20.1,6.093,7.579,
*   2 Lib,--,14,23,25.625,-11,42,50.55,6.214,7.216,
HD 125869,--,14,23,48.574,-53,10,34.49,5.993,7.097,
HD 126200,--,14,24,0.879,8,14,38.3,5.93,5.984,
HD 126307,--,14,24,1.981,27,24,47.43,6.41,8.02,
HD 126248,--,14,24,11.344,5,49,12.47,5.094,5.222,
HD 124639,--,14,24,22.065,-82,50,53.67,6.417,6.407,
HD 126093,--,14,24,40.813,-44,18,40.09,6.43,7.49,
HD 126218,--,14,24,48.626,-24,48,22.71,5.332,6.3,
HD 125835,--,14,25,6.326,-68,11,43.2,5.62,6.11,
* tet Boo,--,14,25,11.797,51,51,2.68,4.05,4.56,
HD 126363,--,14,25,17.593,-13,21,11.39,6.49,7.71,
HD 126597,--,14,25,29.152,38,23,34.99,6.28,7.517,
HD 125990,--,14,25,39.746,-66,10,22.51,6.362,6.479,
HD 126400,--,14,25,47.768,-26,51,8.07,6.487,7.444,
