n,h,m,s,znak,dd,dm,ds,mV,B-V
34    Her,16,30,6,+,48,57,39,6.45,0.03
--,16,19,11.2,+,49,2,17,5.91,1.37
--,16,56,6.4,+,50,2,20,6.56,1.62
--,16,28,43.4,+,51,24,28,6.29,1.05
16    Dra,16,36,11.5,+,52,54,1,5.53,-0.07
--,16,2,5.5,+,52,54,57,5.93,1.48
17    Dra,16,36,14.1,+,52,55,27,6.53,-0.06
17    Dra,16,36,13.7,+,52,55,28,5.08,-0.04
--,16,24,25.3,+,55,12,18,5.74,0
--,16,42,58.4,+,55,41,25,6.16,0.07
--,16,38,0.4,+,56,0,56,5.29,1.08
--,16,59,21.5,+,56,41,19,6.03,1.16
--,16,45,17.8,+,56,46,55,4.85,0.38
13The Dra,16,1,53.3,+,58,33,55,4.01,0.52
--,16,3,9.3,+,59,24,39,6.19,1.58
--,16,17,15.3,+,59,45,18,5.4,1.63
--,16,32,25.7,+,60,49,24,5.94,0.02
14Eta Dra,16,23,59.5,+,61,30,51,2.74,0.91
--,16,23,47,+,61,41,48,5.67,0.96
--,16,36,55,+,63,4,22,6.16,1.53
18    Dra,16,40,55.1,+,64,35,21,4.83,1.22
20    Dra,16,56,25.2,+,65,2,21,6.41,0.38
19    Dra,16,56,1.7,+,65,8,5,4.89,0.48
--,16,12,25.1,+,67,8,39,6.21,0.99
--,16,6,19.7,+,67,48,37,5.44,-0.02
15    Dra,16,27,59,+,68,46,5,5,-0.06
--,16,21,48.7,+,69,6,34,5.25,1.12
--,16,31,28.1,+,72,36,43,6.3,1.32
--,16,56,16.8,+,73,7,40,6.3,0.24
--,16,14,33.5,+,73,23,42,5.98,0.08
21Eta UMi,16,17,30.3,+,75,45,19,4.95,0.37
19    UMi,16,10,49.5,+,75,52,39,5.48,-0.11
--,16,30,38.8,+,77,26,48,6.34,1
--,16,43,6,+,77,30,51,5.98,0.42
--,16,37,52.9,+,78,55,6,6.32,1.14
--,16,25,43.1,+,78,57,50,5.56,0.26
22Eps UMi,16,45,58.1,+,82,2,14,4.23,0.89
41    Oph,17,16,36.7,-,0,26,43,4.73,1.14
--,17,5,32.3,-,0,53,31,5.64,0.16
--,17,30,23.8,-,1,3,45,5.31,0.72
--,17,8,13.6,-,1,4,46,6.06,0.08
--,17,51,59.5,-,1,14,12,6.35,1.12
--,17,25,57.9,-,1,39,6,6.44,0.46
--,17,6,52.9,-,1,39,23,6.38,0.2
--,17,40,11.8,-,2,9,9,6.19,1.67
--,17,22,51.3,-,2,23,18,6.29,0.68
--,17,8,54.5,-,3,52,58,6.36,0.69
--,17,56,47.7,-,4,4,55,5.47,1.16
30    Oph,17,1,3.6,-,4,13,21,4.82,1.48
--,17,59,36.7,-,4,49,17,5.87,1.56
--,17,26,37.9,-,5,5,12,4.54,0.39
--,17,33,29.9,-,5,44,41,5.62,0.18
--,17,19,59.5,-,5,55,2,6.32,0.85
--,17,29,47.4,-,5,55,11,6.37,0.93
--,17,52,38.8,-,6,8,37,6.21,1.4
--,17,16,42.8,-,6,14,42,6.09,1.1
--,17,43,47,-,7,4,46,6.3,0.38
57Mu  Oph,17,37,50.7,-,8,7,8,4.62,0.11
--,17,28,2.3,-,8,12,30,6.37,0.58
64Nu  Oph,17,59,1.6,-,9,46,25,3.34,0.99
--,17,9,48,-,10,31,24,5.56,0.52
--,17,20,52.7,-,10,41,46,6.46,0.33
--,17,53,3.6,-,10,53,59,6.18,1.11
--,17,38,9.5,-,10,55,35,5.75,1.23
--,17,34,46.4,-,11,14,31,5.55,0.02
--,17,27,2.1,-,12,30,45,6.21,0.51
53Nu  Ser,17,20,49.7,-,12,50,49,4.33,0.03
56Omi Ser,17,41,24.9,-,12,52,31,4.26,0.08
--,17,43,48.6,-,13,30,31,6.39,0.37
--,17,15,20.3,-,14,35,2,5.99,1.1
--,17,47,36.8,-,14,43,33,5.94,0.05
55Xi  Ser,17,37,35.2,-,15,23,55,3.54,0.26
--,17,37,36.2,-,15,34,16,5.94,0.37
35Eta Oph,17,10,22.7,-,15,43,29,2.43,0.06
--,17,56,19,-,15,48,45,5.89,0.05
--,17,18,19.2,-,16,18,43,6.43,1.66
--,17,8,14.9,-,17,36,33,5.99,1.01
--,17,19,53.3,-,17,45,23,6.02,0.04
--,17,24,37.1,-,18,26,45,6.21,0.03
--,17,55,55,-,18,48,8,6.52,0.05
29    Oph,17,1,51.2,-,18,53,8,6.26,1.38
--,17,20,34.2,-,19,19,58,6.52,0.58
--,17,4,45.3,-,20,29,41,6.3,-0.02
40Xi  Oph,17,21,0.2,-,21,6,46,4.39,0.39
--,17,24,42,-,21,26,30,5.85,0.93
--,17,6,11.8,-,21,33,53,6.3,0.13
58    Oph,17,43,25.8,-,21,41,0,4.87,0.47
52    Oph,17,35,18.5,-,22,2,38,6.57,0.01
--,17,47,45.6,-,22,28,41,6.18,1.49
4    Sgr,17,59,47.6,-,23,48,58,4.76,-0.04
51    Oph,17,31,25,-,23,57,46,4.81,0
44    Oph,17,26,22.2,-,24,10,31,4.17,0.28
--,17,25,6.2,-,24,14,37,6.19,1.1
39Omi Oph,17,18,0.5,-,24,17,3,6.8,0.51
39Omi Oph,17,18,0.7,-,24,17,13,5.2,1.1
--,17,54,54,-,24,53,14,6.2,0.04
26    Oph,17,0,9.5,-,24,59,21,5.75,0.41
42The Oph,17,22,0.6,-,24,59,58,3.27,-0.22
--,17,12,13.6,-,25,15,17,6.54,-0.04
--,17,26,55.2,-,25,56,36,6.44,-0.06
--,17,31,44.4,-,26,16,11,6.05,-0.06
--,17,6,53.2,-,26,30,47,6.29,-0.04
36    Oph,17,15,20.8,-,26,36,5,5.07,0.85
36    Oph,17,15,21,-,26,36,10,5.11,0.86
--,17,48,27.8,-,26,58,30,6.35,0.12
--,17,12,25,-,27,45,43,6.14,-0.04
3    Sgr,17,47,33.6,-,27,49,51,4.54,0.8
--,17,43,17.8,-,27,53,3,6.36,0.47
--,17,56,41.9,-,28,3,55,5.8,0.21
43    Oph,17,23,21.6,-,28,8,35,5.35,1.55
--,17,58,39.1,-,28,45,33,6.01,-0.08
--,17,27,37.5,-,29,43,28,6,0
45    Oph,17,27,21.3,-,29,52,1,4.29,0.4
--,17,15,51.5,-,30,12,38,6.21,-0.03
--,17,59,5.2,-,30,15,11,5.16,1.77
--,17,59,5.5,-,30,15,12,7.04,1.06
--,17,8,47.5,-,30,24,13,5.97,0.25
--,17,51,12.5,-,30,33,26,6.66,0.04
--,17,49,10.5,-,31,42,12,4.83,-0.04
--,17,1,52.7,-,32,8,37,5.03,-0.1
--,17,12,58.7,-,32,26,19,6.01,0.07
--,17,18,20.4,-,32,33,12,6.36,0.15
--,17,34,42.5,-,32,34,54,5.7,0.04
--,17,17,3.7,-,32,39,46,5.55,0.5
--,17,43,6.9,-,33,3,4,6.4,1.81
--,17,15,19.3,-,33,32,54,5.53,-0.01
--,17,31,47.4,-,33,42,10,6.44,1.19
--,17,52,49.2,-,34,6,51,6.06,1.23
--,17,4,49.4,-,34,7,22,4.87,0.26
--,17,32,24.5,-,34,16,47,6.17,0.35
--,17,52,19.7,-,34,25,0,5.84,1.13
--,17,54,27.2,-,34,27,59,5.96,-0.01
--,17,25,2.7,-,34,41,47,6.16,0.02
--,17,53,19.6,-,34,43,50,6.17,-0.03
--,17,53,54.9,-,34,45,9,5.96,-0.01
--,17,53,45.5,-,34,47,9,6.38,0
--,17,52,13.6,-,34,47,57,5.9,-0.1
--,17,53,58.1,-,34,49,54,6.42,0.01
--,17,53,23.3,-,34,53,43,5.6,1.14
--,17,18,57.2,-,34,59,23,5.91,1.04
--,17,52,55.9,-,35,1,7,6.45,0.02
--,17,6,28.4,-,35,27,4,6.13,0.5
--,17,52,57.9,-,35,37,27,6.03,0.34
--,17,16,21.5,-,35,44,58,6.12,0.48
--,17,22,38,-,35,54,36,6.47,0.54
--,17,0,36.9,-,35,56,3,5.97,1.16
--,17,55,7.9,-,36,28,33,6.06,0.08
--,17,28,56.1,-,36,46,42,6.02,1.11
--,17,58,55.6,-,36,51,30,5.74,0.9
--,17,42,51,-,36,56,45,5.54,1.55
--,17,49,51.5,-,37,2,36,3.21,1.17
35Lam Sco,17,33,36.5,-,37,6,14,1.63,-0.22
--,17,22,54.9,-,37,13,14,5.93,1.08
--,17,6,20.3,-,37,13,39,5.98,0.07
34Ups Sco,17,30,45.8,-,37,17,45,2.69,-0.22
--,17,35,43,-,37,26,24,6.48,0.01
--,17,22,39.4,-,37,48,18,6.41,0.64
--,17,37,26.8,-,38,3,56,6.26,1.25
--,17,47,7.3,-,38,6,42,6.43,-0.02
--,17,3,50.8,-,38,9,8,5.91,0.38
--,17,29,25.7,-,38,31,0,6.39,0.09
--,17,15,35.9,-,38,35,38,5.96,0.58
--,17,36,32.8,-,38,38,7,4.29,1.09
--,17,12,16.5,-,38,49,20,6.3,1.05
Kap Sco,17,42,29.3,-,39,1,48,2.41,-0.22
--,17,57,57.8,-,39,8,13,6.29,0.01
--,17,12,16.2,-,39,30,25,5.67,0.04
--,17,14,27.7,-,39,46,1,6.6,2.21
Iot2Sco,17,50,11.2,-,40,5,26,4.81,0.26
Iot1Sco,17,47,35.1,-,40,7,37,3.03,0.51
--,17,56,55.8,-,40,18,20,6.43,1.43
--,17,51,32.8,-,40,46,21,5.96,1.59
--,17,33,7.4,-,41,10,25,5.84,0.06
--,17,57,47.7,-,41,42,58,4.88,1.65
--,17,52,52.7,-,41,59,48,6.2,0.54
--,17,44,42,-,42,43,44,5.87,0.16
--,17,38,8.5,-,42,52,50,6.1,-0.06
The Sco,17,37,19.2,-,42,59,52,1.87,0.4
Eta Sco,17,12,9.2,-,43,14,21,3.33,0.41
--,17,5,48.6,-,44,6,18,6.19,0.28
--,17,18,48,-,44,7,47,5.76,-0.05
--,17,24,13,-,44,9,45,5.12,-0.06
--,17,19,24.5,-,44,13,23,6.65,0.2
--,17,56,47.4,-,44,20,32,4.86,1.21
--,17,10,42.3,-,44,33,27,5.08,0.86
--,17,0,32.3,-,45,27,6,6.65,1.8
--,17,5,5.3,-,45,30,6,6.28,0.07
--,17,51,44.5,-,45,36,2,6.11,0.95
--,17,26,51.5,-,45,50,37,5.29,-0.07
--,17,31,49.1,-,46,2,11,6.03,0.83
1Sig Ara,17,35,39.6,-,46,30,20,4.59,-0.03
--,17,19,3.2,-,46,38,2,5.48,0.8
--,17,41,16.3,-,46,55,19,5.79,-0.01
Iot Ara,17,23,16.1,-,47,28,6,5.25,-0.11
--,17,0,27.1,-,48,38,52,6,0.88
--,17,11,38.9,-,48,52,27,5.84,1.84
Lam Ara,17,40,23.6,-,49,24,56,4.77,0.4
Alp Ara,17,31,50.5,-,49,52,34,2.95,-0.17
--,17,37,27.2,-,50,3,36,5.93,1.1
--,17,19,30.3,-,50,3,48,6.27,0.41
--,17,42,3.9,-,50,30,38,6.24,1.76
--,17,27,12.4,-,50,37,49,5.92,0.08
Kap Ara,17,26,0,-,50,38,1,5.23,1.06
--,17,1,46.1,-,51,7,51,6.45,0.27
Mu  Ara,17,44,8.7,-,51,50,3,5.15,0.7
--,17,26,56.3,-,51,56,57,6.19,-0.03
--,17,27,57.6,-,52,17,50,5.75,1.17
--,17,51,11,-,53,7,50,6.09,0
Eps2Ara,17,3,8.8,-,53,14,13,5.29,0.48
--,17,35,20,-,53,21,10,6.1,0.02
--,17,50,28.2,-,53,36,44,5.92,-0.08
Pi  Ara,17,38,5.6,-,54,30,1,5.25,0.2
--,17,0,6.2,-,54,35,49,5.65,0.19
--,17,28,38.7,-,55,10,11,5.94,1.11
--,17,48,38.1,-,55,24,6,6.11,0.28
Bet Ara,17,25,18,-,55,31,48,2.85,1.46
Gam Ara,17,25,23.6,-,56,22,39,3.34,-0.13
--,17,23,6.9,-,56,31,31,5.8,1
--,17,14,13.2,-,56,53,18,6.09,1.78
--,17,31,23,-,56,55,14,5.95,-0.08
--,17,44,55.8,-,57,32,43,6.01,0.9
--,17,4,24.7,-,57,42,44,5.73,-0.1
--,17,22,55,-,58,0,37,5.88,1.07
--,17,1,47.4,-,58,57,30,6.11,-0.03
--,17,19,12.4,-,59,41,40,5.91,1.37
--,17,35,34.9,-,59,50,46,6.28,-0.08
--,17,51,35.5,-,60,9,52,5.78,1
--,17,24,18.7,-,60,40,25,5.77,-0.08
Del Ara,17,31,5.9,-,60,41,2,3.62,-0.1
--,17,10,6.3,-,61,40,32,6.39,-0.04
--,17,24,1.1,-,62,51,51,5.7,-0.14
--,17,28,7.7,-,63,2,11,6.24,-0.09
Eta Pav,17,45,44,-,64,43,26,3.62,1.19
--,17,53,18.4,-,65,29,21,6.49,1.08
--,17,13,17.5,-,67,11,48,5.89,1.06
Zet Aps,17,21,59.4,-,67,46,14,4.78,1.21
--,17,20,12.8,-,70,2,44,6.53,0.6
Iot Aps,17,22,5.9,-,70,7,24,5.41,-0.04
--,17,12,19.8,-,70,43,16,6.22,1.06
--,17,44,19.7,-,72,13,15,6.49,0.48
--,17,16,35.6,-,74,31,59,6.25,-0.01
--,17,57,41.8,-,76,10,39,6.07,1.2
--,17,31,27.3,-,80,51,33,5.88,1.67
--,17,0,58.5,-,86,21,52,6.04,0.05
--,17,15,59.3,-,87,33,59,6.57,0.91
--,17,57,4.3,+,0,3,59,5.97,0.1
--,17,28,49.7,+,0,19,50,5.44,0.22
--,17,12,54.4,+,0,21,7,6.65,0.5
--,17,56,18.4,+,0,40,13,5.82,0.09
--,17,5,16.9,+,0,42,9,6.01,0.58
--,17,16,31.7,+,1,12,38,5.88,0.06
--,17,52,35.4,+,1,18,18,5.95,1.58
--,17,49,18.9,+,1,57,40,6.47,1.24
--,17,39,8.5,+,2,1,41,6.26,1.03
--,17,16,14.2,+,2,11,10,6.17,0.22
61    Oph,17,44,34,+,2,34,46,6.17,0.07
62Gam Oph,17,47,53.6,+,2,42,26,3.75,0.04
--,17,31,21.3,+,2,43,28,5.59,0.84
--,17,48,20.2,+,3,48,15,6.22,0.16
49Sig Oph,17,26,30.9,+,4,8,25,4.34,1.5
60Bet Oph,17,43,28.4,+,4,34,2,2.77,1.16
--,17,18,52.8,+,6,5,7,6.51,0.39
--,17,53,14.2,+,6,6,5,5.77,0.42
--,17,41,32.3,+,6,18,46,5.95,1.26
--,17,56,56,+,6,29,16,6.29,0
--,17,0,29.4,+,6,35,1,6.59,0.23
--,17,26,19,+,7,35,44,6.06,0.58
--,17,11,45.2,+,7,53,41,6.33,1.04
--,17,1,59.1,+,8,27,2,6.33,0.09
--,17,23,57.6,+,8,51,10,5.77,1.25
53    Oph,17,34,36.7,+,9,35,12,5.81,0.02
--,17,6,9.7,+,9,44,0,6.37,1.45
--,17,6,13.1,+,10,27,15,6.37,0.87
37    Oph,17,12,27.8,+,10,35,7,5.33,1.59
--,17,18,37,+,10,51,52,5.03,1.55
--,17,57,26.9,+,11,2,39,6.36,0.11
--,17,54,14.2,+,11,7,50,6.38,0.45
--,17,30,22.4,+,11,55,30,6.39,0.06
--,17,32,15,+,11,55,49,6.42,-0.01
--,17,50,43.5,+,11,56,48,6.17,1.25
--,17,10,45.8,+,12,28,2,6.57,0.08
55Alp Oph,17,34,56.1,+,12,33,36,2.08,0.15
60    Her,17,5,22.7,+,12,44,27,4.91,0.12
--,17,38,57.8,+,13,19,45,6.12,0.56
--,17,3,58,+,13,34,3,6.08,1.03
--,17,3,39.3,+,13,36,19,5.93,0
--,17,3,7.8,+,14,5,31,4.98,1.6
--,17,43,22,+,14,17,42,6.24,0.42
64Alp1Her,17,14,38.9,+,14,23,25,3.48,1.44
--,17,44,17.3,+,14,24,37,6.19,0.21
--,17,3,10.4,+,14,30,40,6.52,0.76
--,17,33,42.8,+,14,50,30,6.48,1.6
--,17,1,33,+,14,56,58,6.31,0.04
--,17,41,11,+,15,10,41,6.34,0.03
--,17,24,33.8,+,15,36,22,6.35,-0.02
--,17,41,58.7,+,15,57,7,5.52,0.38
--,17,24,31.5,+,16,18,4,5.71,0.07
--,17,33,39.4,+,16,19,3,5.69,1.01
--,17,21,33.4,+,16,43,51,6.35,1.61
--,17,25,54.4,+,16,55,3,5.98,1.62
--,17,18,5,+,17,19,5,6,0.01
--,17,47,8,+,17,41,50,5.72,0.01
--,17,20,18.9,+,18,3,26,5,1.62
--,17,48,47.9,+,19,15,19,6.12,0.02
--,17,33,22.8,+,19,15,24,5.64,0.48
--,17,4,41.3,+,19,35,57,6.17,-0.01
--,17,3,52.7,+,19,41,26,6.35,1.52
--,17,26,49.1,+,20,4,51,5.54,-0.13
--,17,48,24.8,+,20,33,56,5.69,0.94
--,17,35,59.6,+,20,59,46,6.1,0.19
--,17,6,18.1,+,22,5,3,5.56,1.3
--,17,55,50.8,+,22,27,51,5.58,1.24
--,17,0,58.1,+,22,37,56,5.65,1.33
73    Her,17,24,6.6,+,22,57,37,5.74,0.21
--,17,15,41.6,+,23,44,34,5.96,1.31
--,17,57,14.3,+,23,59,45,6.3,0.63
63    Her,17,11,3.2,+,24,14,16,6.19,0.23
79    Her,17,37,31.1,+,24,18,36,5.77,0.11
84    Her,17,43,21.6,+,24,19,40,5.71,0.65
70    Her,17,20,54.2,+,24,29,58,5.12,-0.03
--,17,41,5.5,+,24,30,48,6.36,1.2
83    Her,17,42,28.4,+,24,33,51,5.52,1.46
65Del Her,17,15,1.9,+,24,50,21,3.14,0.08
--,17,2,18.7,+,25,30,20,5.75,1.02
--,17,20,9.8,+,25,32,15,5.38,0.03
87    Her,17,48,49.2,+,25,37,22,5.12,1.16
89    Her,17,55,25.2,+,26,3,0,5.46,0.34
76Lam Her,17,30,44.3,+,26,6,38,4.41,1.44
--,17,26,0.9,+,26,52,44,6.41,0.1
--,17,1,9.6,+,27,11,47,6.55,0.41
86Mu  Her,17,46,27.5,+,27,43,14,3.42,0.75
78    Her,17,31,49.6,+,28,24,27,5.62,0
--,17,21,31.2,+,28,45,29,6.35,0.7
--,17,18,48.5,+,28,49,23,5.65,0.98
92Xi  Her,17,57,45.9,+,29,14,52,3.7,0.94
--,17,50,22.9,+,29,19,20,5.5,1.05
94Nu  Her,17,58,30.2,+,30,11,22,4.41,0.39
--,17,36,36.7,+,30,47,7,6.02,0.16
58Eps Her,17,0,17.4,+,30,55,35,3.92,-0.01
--,17,30,55.4,+,31,9,30,5.61,0.95
--,17,39,57.5,+,31,12,9,6.03,1.58
--,17,40,41.2,+,31,17,15,6.28,1.05
--,17,45,40.3,+,31,30,17,6.23,0
--,17,2,17.2,+,31,53,5,6.36,1.13
72    Her,17,20,39.6,+,32,28,4,5.39,0.62
68    Her,17,17,19.5,+,33,6,0,4.82,-0.17
59    Her,17,1,36.4,+,33,34,6,5.25,0.02
--,17,32,1.1,+,34,16,15,6.56,0.65
--,17,26,46.2,+,34,41,45,5.94,-0.01
--,17,3,53.5,+,34,47,25,6.04,0.22
--,17,8,2,+,35,56,7,5.39,0.31
--,17,58,42.3,+,36,17,16,6,0.94
67Pi  Her,17,15,2.8,+,36,48,33,3.16,1.44
--,17,24,27.1,+,36,57,7,6.28,0.88
75Rho Her,17,23,41,+,37,8,45,4.52,-0.03
91The Her,17,56,15.2,+,37,15,2,3.86,1.35
69    Her,17,17,40.3,+,37,17,30,4.65,0.05
--,17,35,42.4,+,37,18,6,6.1,0.98
--,17,24,2.2,+,38,34,58,6.49,0.73
--,17,18,23.3,+,38,48,41,5.94,1
--,17,45,53.7,+,38,52,53,6.52,1
--,17,30,40.3,+,38,52,56,6.43,0.49
--,17,45,58.5,+,39,19,21,6.68,1.39
--,17,21,43.6,+,39,58,28,5.51,0.68
--,17,52,4.7,+,39,58,56,6.04,1.33
90    Her,17,53,18.1,+,40,0,29,5.16,1.18
--,17,7,46.7,+,40,30,58,6.34,0.03
--,17,9,33.3,+,40,46,38,5.08,1.28
--,17,33,7.3,+,41,14,37,5.74,1.09
--,17,5,5,+,43,48,44,6.43,0.09
--,17,43,5.6,+,44,5,4,6.34,1.54
--,17,56,48.4,+,45,21,3,6.02,1.64
--,17,58,52.3,+,45,28,34,6.48,-0.08
--,17,59,56.2,+,45,30,5,5.67,1.57
85Iot Her,17,39,27.9,+,46,0,23,3.8,-0.18
74    Her,17,20,21.1,+,46,14,27,5.59,1.57
--,17,52,1,+,46,38,36,6.38,1.09
--,17,47,8.1,+,47,36,44,6.43,0.11
--,17,20,33.6,+,48,11,18,6.43,0.43
77    Her,17,26,44.2,+,48,15,36,5.85,0.12
88    Her,17,50,3.3,+,48,23,39,6.68,-0.11
82    Her,17,36,37.6,+,48,35,8,5.37,1.15
--,17,4,49.8,+,48,48,15,6.09,1.09
30    Dra,17,49,4.3,+,50,46,52,5.02,0.02
--,17,8,17.1,+,50,50,32,6.46,0
33Gam Dra,17,56,36.4,+,51,29,20,2.23,1.52
--,17,41,21.8,+,51,49,5,5.99,1.05
23Bet Dra,17,30,26,+,52,18,5,2.79,0.98
--,17,10,30.6,+,52,24,32,6.29,0
--,17,21,45.4,+,53,25,14,5.67,1.47
--,17,43,59.3,+,53,48,6,5.75,0.01
21Mu  Dra,17,5,19.7,+,54,28,13,5.8,0.48
25Nu 2Dra,17,32,16,+,55,10,23,4.87,0.28
24Nu 1Dra,17,32,10.6,+,55,11,3,4.88,0.26
--,17,55,23.7,+,55,58,17,6.1,0.32
32Xi  Dra,17,53,31.7,+,56,52,22,3.75,1.18
--,17,40,36.2,+,57,18,37,6.77,0.92
--,17,33,31.7,+,57,33,32,6.17,0.59
--,17,26,4.9,+,58,39,7,6.51,0.14
--,17,25,41.3,+,60,2,54,5.65,0.03
--,17,1,16.7,+,60,38,57,6.13,1
--,17,16,29.4,+,60,40,14,6.32,1.09
26    Dra,17,34,59.5,+,61,52,30,5.23,0.61
--,17,12,32.6,+,62,52,28,5.56,0.21
--,17,2,15.3,+,64,36,2,6.1,0.96
22Zet Dra,17,8,47.2,+,65,42,53,3.17,-0.12
--,17,25,0.2,+,67,18,23,6.43,0.76
27    Dra,17,31,57.9,+,68,8,6,5.05,1.08
28Ome Dra,17,36,57.1,+,68,45,29,4.8,0.43
--,17,36,39.7,+,69,34,15,6.42,0.58
34Psi2Dra,17,55,11.2,+,72,0,18,5.45,0.3
31Psi1Dra,17,41,56.3,+,72,8,56,4.58,0.42
31Psi1Dra,17,41,58,+,72,9,25,5.79,0.53
--,17,37,8.8,+,72,27,21,5.86,1.01
--,17,54,26.6,+,75,10,15,6.36,0.98
35    Dra,17,49,27,+,76,57,46,5.04,0.49
--,17,50,10.5,+,78,18,24,6.24,1.44
--,17,19,37,+,80,8,11,5.72,1.5
23Del UMi,17,32,12.9,+,86,35,11,4.36,0.02
24    UMi,17,30,48,+,86,58,5,5.79,0.25
Lam UMi,17,16,56.8,+,89,2,16,6.38,1.57
--,18,37,36,-,0,18,34,5.75,0.07
--,18,6,7.4,-,0,26,48,6.34,1.06
5    Aql,18,46,28.5,-,0,57,42,5.9,0.13
61    Ser,18,31,57,-,1,0,11,5.94,0.16
--,18,38,19.1,-,1,6,48,6.66,0.42
--,18,24,57,-,1,34,46,6.15,0.37
--,18,56,22.7,-,1,48,0,6.22,-0.05
60    Ser,18,29,41,-,1,59,7,5.39,0.96
58Eta Ser,18,21,18.6,-,2,53,56,3.26,0.94
--,18,16,53.1,-,3,0,26,6,0.89
--,18,38,23.7,-,3,11,37,6.49,0.55
8    Aql,18,51,22.1,-,3,19,4,6.1,0.3
--,18,24,3.5,-,3,35,0,6.38,0.34
--,18,15,58,-,3,37,3,6.36,0.2
57Zet Ser,18,0,29,-,3,41,25,4.62,0.38
--,18,13,10,-,4,0,42,6.59,0.27
Bet Sct,18,47,10.5,-,4,44,52,4.22,1.1
--,18,6,15.2,-,4,45,5,5.77,0.96
--,18,2,46.3,-,5,21,31,6.76,0.16
--,18,47,29,-,5,42,18,5.2,1.47
--,18,30,14.3,-,5,43,27,6.28,0.95
Eta Sct,18,57,3.7,-,5,50,46,4.83,1.08
--,18,33,22.9,-,5,54,41,6.36,0.02
--,18,49,41,-,5,54,46,5.99,1.6
--,18,43,51.4,-,6,49,7,6.31,0.48
--,18,42,36.1,-,7,4,24,6.15,1
--,18,24,42.1,-,7,4,31,6.31,1.16
--,18,40,0.5,-,7,47,26,5.84,1.55
--,18,50,20,-,7,54,27,6.8,3.09
69Tau Oph,18,3,4.9,-,8,10,50,5.24,0.38
Alp Sct,18,35,12.4,-,8,14,39,3.85,1.33
Eps Sct,18,43,31.3,-,8,16,31,4.9,1.12
--,18,6,7.4,-,8,19,26,5.85,0.21
Zet Sct,18,23,39.5,-,8,56,3,4.68,0.95
Del Sct,18,42,16.4,-,9,3,9,4.72,0.35
--,18,53,1.9,-,9,34,34,6.34,0.2
--,18,17,24.2,-,9,45,31,6.31,0.38
--,18,50,58.5,-,9,46,27,5.83,0.61
--,18,46,43.3,-,10,7,30,5.71,0.59
--,18,23,2.2,-,10,13,7,6.33,0.14
--,18,31,25.7,-,10,47,45,5.72,0.24
--,18,35,2.4,-,10,58,38,5.14,0.92
--,18,23,12.2,-,12,0,53,5.73,0.01
--,18,59,23.8,-,12,50,26,5.53,-0.04
--,18,9,43.4,-,13,56,4,6.39,1.42
--,18,38,4.6,-,14,0,17,6.47,0.21
--,18,41,42.5,-,14,33,51,6.42,0.81
Gam Sct,18,29,11.9,-,14,33,57,4.7,0.06
--,18,29,46.8,-,14,34,54,5.96,-0.04
--,18,32,20.8,-,14,38,39,6.37,0.22
--,18,33,39,-,14,51,13,5.76,0.04
--,18,32,43.3,-,14,51,56,5.5,1.97
--,18,54,43.1,-,15,36,11,5.1,0.17
--,18,20,8.8,-,15,49,54,5.39,1.47
--,18,55,31,-,16,22,36,5.79,0.36
--,18,7,48.4,-,17,9,15,5.52,1.11
6    Sgr,18,1,23.1,-,17,9,25,6.28,1.8
--,18,17,11.6,-,17,22,26,5.75,1.58
--,18,27,56.5,-,17,48,0,6.2,0.01
--,18,31,26.3,-,18,24,10,5.14,0
--,18,17,28.5,-,18,27,48,6.54,0.11
--,18,59,26.8,-,18,34,1,6.37,0.99
--,18,18,43.3,-,18,37,10,6.84,0.31
--,18,15,30.8,-,18,39,41,6.07,0.2
--,18,30,11.9,-,18,43,44,5.66,1.06
--,18,21,23.1,-,18,51,36,5.75,0.94
--,18,31,53.3,-,19,7,30,6.68,1.13
--,18,49,35.5,-,19,8,32,6.75,0.2
--,18,42,55.2,-,19,17,2,6.35,1.75
--,18,46,1.2,-,19,36,23,6.42,1.65
--,18,11,14.8,-,19,50,32,6.36,0.16
29    Sgr,18,49,40.1,-,20,19,29,5.24,1.41
--,18,0,0.1,-,20,20,21,6.21,1.4
16    Sgr,18,15,12.9,-,20,23,17,5.95,0.02
21    Sgr,18,25,21,-,20,32,30,4.81,1.31
36Xi 1Sgr,18,57,20.5,-,20,39,23,5.08,0.13
15    Sgr,18,15,12.9,-,20,43,42,5.38,0.07
--,18,35,21.3,-,20,50,27,6.48,0.28
--,18,45,18.7,-,21,0,5,6.36,0.45
--,18,38,53.4,-,21,3,7,5.86,0.68
13Mu  Sgr,18,13,45.8,-,21,3,32,3.86,0.23
37Xi 2Sgr,18,57,43.8,-,21,6,24,3.51,1.18
33    Sgr,18,54,0.1,-,21,21,35,5.69,1.23
--,18,37,54.4,-,21,23,52,5.94,0.19
--,18,7,11.4,-,21,26,38,6.28,0.12
14    Sgr,18,14,15.9,-,21,42,47,5.44,1.52
30    Sgr,18,50,50.5,-,22,9,44,6.61,0.38
28    Sgr,18,46,20.6,-,22,23,32,5.37,1.64
--,18,58,24.6,-,22,31,46,6.14,0.09
35Nu 2Sgr,18,55,7.1,-,22,40,17,4.99,1.33
--,18,3,1.7,-,22,43,6,6.74,-0.05
32Nu 1Sgr,18,54,10.2,-,22,44,42,4.83,1.41
--,18,1,54.4,-,22,46,50,5.77,0
