n,h,m,s,znak,dd,dm,ds,mV,B-V
66    Psc,0,54,35.2,+,19,11,18,5.74,-0.01
59    Psc,0,47,13.6,+,19,34,44,6.13,0.27
89Chi Peg,0,14,36.2,+,20,12,24,4.8,1.57
52    Psc,0,32,35.5,+,20,17,40,5.38,1.08
61    Psc,0,47,54.8,+,20,55,31,6.54,0.5
54    Psc,0,39,21.8,+,21,15,2,5.87,0.85
--,0,58,18.9,+,21,24,16,6.37,0.09
55    Psc,0,39,55.6,+,21,26,18,5.36,1.16
--,0,14,56.1,+,22,17,3,6.24,-0.01
38Eta And,0,57,12.4,+,23,25,3,4.42,0.94
36    And,0,54,58,+,23,37,42,5.47,1
34Zet And,0,47,20.3,+,24,16,2,4.06,1.12
--,0,55,14.7,+,24,33,25,6.2,1.62
--,0,41,36,+,24,37,45,6.04,0.26
--,0,8,52.2,+,25,27,46,6.23,0.97
--,0,4,56,+,26,38,56,6.25,1.4
--,0,0,23.9,+,26,55,6,6.46,0.5
--,0,13,24,+,26,59,14,6.3,0.65
85    Peg,0,2,10.2,+,27,4,55,5.75,0.67
67    Psc,0,55,58.5,+,27,12,34,6.09,0.14
--,0,36,20,+,27,15,17,6.5,-0.09
--,0,15,10.6,+,27,16,59,6.35,-0.02
65    Psc,0,49,52.8,+,27,42,39,7,0.36
--,0,32,49.1,+,28,16,49,6.3,1
68    Psc,0,57,50.2,+,28,59,32,5.42,1.08
--,0,6,36.8,+,29,1,17,6.13,0.75
21Alp And,0,8,23.3,+,29,5,26,2.06,-0.11
30Eps And,0,38,33.3,+,29,18,42,4.37,0.87
28    And,0,30,7.3,+,29,45,6,5.23,0.24
31Del And,0,39,19.7,+,30,51,39,3.27,1.28
--,0,20,24.4,+,30,56,9,5.9,-0.1
--,0,18,38.3,+,31,31,2,5.87,-0.01
--,0,20,45.5,+,32,54,41,5.79,1.59
--,0,14,2.3,+,33,12,22,6.25,-0.01
--,0,31,25.6,+,33,34,54,5.87,1.14
29Pi  And,0,36,52.9,+,33,43,10,4.36,-0.14
--,0,58,14.2,+,33,57,3,5.98,1
--,0,4,53.8,+,34,39,35,6.12,0.62
--,0,37,21.1,+,35,23,58,5.48,0.88
--,0,8,41,+,36,37,36,6.19,0.48
25Sig And,0,18,19.7,+,36,47,7,4.52,0.05
--,0,28,56.6,+,36,54,0,6.26,0.92
--,0,53,28.2,+,37,25,5,6.06,1.14
--,0,12,50.4,+,37,41,36,6.73,-0.13
27Rho And,0,21,7.3,+,37,58,7,5.18,0.42
37Mu  And,0,56,45.2,+,38,29,58,3.87,0.13
--,0,52,53.4,+,38,32,55,6.69,0.02
--,0,24,2,+,38,34,38,7.39,1.97
24The And,0,17,5.5,+,38,40,54,4.61,0.06
32    And,0,41,7.2,+,39,27,31,5.33,0.89
--,0,19,41.6,+,40,43,47,6.33,1.18
23    And,0,13,30.8,+,41,2,7,5.72,0.31
35Nu  And,0,49,48.8,+,41,4,44,4.53,-0.15
--,0,1,43.8,+,42,22,2,6.25,-0.03
--,0,32,26.8,+,43,29,41,6.7,-0.01
--,0,16,21.6,+,43,35,41,6.15,0.05
26    And,0,18,42.1,+,43,47,28,6.11,-0.08
--,0,28,13.7,+,44,23,40,5.17,0.03
--,0,36,46.6,+,44,29,19,5.13,1.6
--,0,46,10.9,+,44,51,41,6.05,-0.07
--,0,50,18.3,+,45,0,8,6.15,0.01
--,0,5,9.9,+,45,13,45,6.7,0.07
--,0,0,43.7,+,45,15,12,6.38,-0.07
--,0,57,39.7,+,45,50,23,6.12,1.02
22    And,0,10,19.3,+,46,4,20,5.03,0.4
20Pi  Cas,0,43,28.1,+,47,1,29,4.94,0.18
--,0,44,26.4,+,47,51,51,5.67,-0.12
--,0,17,9.1,+,47,56,51,5.89,-0.09
--,0,11,59.1,+,48,9,9,6.16,1.45
22Omi Cas,0,44,43.5,+,48,17,4,4.54,-0.07
--,0,55,5.2,+,48,40,43,6.27,1.68
--,0,39,9.9,+,49,21,16,5.43,1.64
--,0,1,19.3,+,49,58,54,6.22,0.97
19Xi  Cas,0,42,3.9,+,50,30,45,4.8,-0.11
25Nu  Cas,0,48,50.1,+,50,58,6,4.89,-0.11
--,0,17,43,+,51,25,59,6.14,-0.13
--,0,50,57.4,+,51,30,29,6.39,0.28
--,0,24,15.6,+,52,1,12,5.57,-0.12
--,0,53,47.6,+,52,41,21,6.27,0.19
--,0,31,41.2,+,52,50,22,5.6,1.15
--,0,25,6.4,+,53,2,49,5.74,-0.06
17Zet Cas,0,36,58.3,+,53,53,49,3.66,-0.2
--,0,36,8.3,+,54,10,7,5.08,-0.11
14Lam Cas,0,31,46.4,+,54,31,20,4.73,-0.1
--,0,33,10.4,+,54,53,42,5.93,1.04
--,0,45,17.2,+,55,13,18,5.42,0.04
18Alp Cas,0,40,30.5,+,56,32,14,2.23,1.17
--,0,10,29.7,+,57,9,56,6.74,-0.08
24Eta Cas,0,49,6,+,57,48,57,3.44,0.57
--,0,56,12.9,+,57,59,48,6.21,1.37
--,0,6,16,+,58,26,12,5.96,0.67
--,0,42,31.1,+,58,45,12,6.17,-0.01
26Ups1Cas,0,55,0.1,+,58,58,22,4.83,1.21
11Bet Cas,0,9,10.7,+,59,8,59,2.27,0.34
28Ups2Cas,0,56,39.8,+,59,10,52,4.63,0.96
--,0,0,30.9,+,59,33,35,6.19,1.01
--,0,46,42.4,+,59,34,28,6.39,1.09
--,0,30,19.9,+,59,58,38,5.94,0.01
--,0,36,27.3,+,60,19,34,5.79,0.29
--,0,56,47.1,+,60,21,46,5.55,-0.07
27Gam Cas,0,56,42.5,+,60,43,0,2.47,-0.15
--,0,53,4.1,+,61,7,27,4.82,0.53
--,0,1,36.9,+,61,13,23,5.55,0.41
--,0,5,6.2,+,61,18,51,5.8,-0.09
--,0,16,57.1,+,61,32,0,5.74,0.88
--,0,51,16.4,+,61,48,21,6.07,1.88
12    Cas,0,24,47.5,+,61,49,52,5.4,0
9    Cas,0,4,13.6,+,62,17,16,5.88,0.3
15Kap Cas,0,33,0,+,62,55,54,4.16,0.14
--,0,3,25.7,+,63,38,31,6.24,0.33
10    Cas,0,6,26.5,+,64,11,46,5.59,-0.03
--,0,50,43.6,+,64,14,51,5.39,0.49
--,0,2,36.1,+,66,5,56,5.86,1.09
--,0,42,3.4,+,66,8,51,5.83,1.04
--,0,58,31.1,+,66,21,8,5.97,-0.02
13    Cas,0,31,25.3,+,66,31,10,6.18,-0.1
--,0,3,51.9,+,66,42,44,6.29,1.67
16    Cas,0,34,24.9,+,66,45,1,6.48,-0.08
--,0,4,42,+,67,10,0,5.67,1.07
--,0,56,55.6,+,68,46,34,6.37,0.38
--,0,33,19.3,+,70,58,54,6.42,-0.01
--,0,48,9.1,+,72,40,30,5.87,1.01
23    Cas,0,47,46.1,+,74,50,51,5.41,-0.08
21    Cas,0,45,39,+,74,59,17,5.66,0.05
--,0,16,14,+,76,57,3,6.35,-0.07
--,0,30,55,+,77,1,10,6.21,0.84
--,0,9,20.2,+,79,42,53,6.01,0.19
--,0,39,47.3,+,82,29,38,6.4,0.55
--,0,54,53.1,+,83,42,26,5.62,0.09
--,1,26,27.3,-,0,23,55,6.41,1.24
43    Cet,1,22,34.8,-,0,26,59,6.49,1.08
42    Cet,1,19,48.3,-,0,30,32,5.87,0.64
38    Cet,1,14,49.2,-,0,58,26,5.7,0.42
34    Cet,1,11,43.5,-,2,15,4,5.94,1.4
39    Cet,1,16,36.3,-,2,30,1,5.41,0.9
--,1,24,48.7,-,2,50,55,6.15,0.96
--,1,20,34.5,-,3,14,49,6.23,1.02
--,1,42,43.5,-,3,41,25,4.99,1.38
--,1,43,54.8,-,4,45,56,6.19,1.54
25    Cet,1,3,2.6,-,4,50,12,5.43,1.11
--,1,45,59.3,-,5,44,0,5.34,1.52
--,1,24,20.6,-,6,54,53,5.91,0.41
--,1,33,42.9,-,7,1,31,5.76,0.64
37    Cet,1,14,24,-,7,55,23,5.13,0.46
44    Cet,1,24,2.5,-,8,0,27,6.21,0.23
45The Cet,1,24,1.4,-,8,11,0,3.6,1.06
32    Cet,1,10,12,-,8,54,22,6.4,1.04
--,1,33,3.5,-,9,0,53,6.59,-0.04
--,1,37,37.7,-,9,24,14,6.24,0.53
30    Cet,1,7,46.2,-,9,47,8,5.82,0.43
28    Cet,1,6,5.1,-,9,50,22,5.58,0.01
27    Cet,1,5,36.8,-,9,58,45,6.12,1.01
31Eta Cet,1,8,35.4,-,10,10,56,3.45,1.16
55Zet Cet,1,51,27.6,-,10,20,6,3.73,1.14
53Chi Cet,1,49,35.1,-,10,41,11,4.67,0.33
--,1,27,46.6,-,10,54,6,6.13,1.32
--,1,20,27.8,-,11,14,20,6.15,1.11
--,1,41,44.7,-,11,19,29,5.75,0.44
47    Cet,1,26,51.6,-,13,3,24,5.66,0.35
46    Cet,1,25,37.2,-,14,35,56,4.9,1.23
50    Cet,1,35,59,-,15,24,1,5.42,1.21
--,1,24,39.8,-,15,39,37,6.14,0.91
49    Cet,1,34,37.8,-,15,40,34,5.63,0.07
52Tau Cet,1,44,4.1,-,15,56,15,3.5,0.72
--,1,52,52.1,-,16,55,45,5.8,0.27
--,1,22,30.5,-,19,4,53,6.35,0.48
57    Cet,1,59,46.1,-,20,49,28,5.41,1.65
--,1,38,51.8,-,21,16,31,5.58,0.34
48    Cet,1,29,36.1,-,21,37,46,5.12,0.02
56    Cet,1,56,40.2,-,22,31,37,4.85,1.42
--,1,6,7.7,-,23,59,33,6.14,1.09
--,1,7,13.1,-,23,59,47,6.37,0.23
--,1,38,50,-,25,1,19,6.7,-0.08
Eps Scl,1,45,38.8,-,25,3,9,5.31,0.39
--,1,30,22.9,-,26,12,28,5.93,1.34
--,1,46,1,-,27,20,57,6.39,0.36
--,1,3,17.6,-,29,31,33,6.29,0.93
Tau Scl,1,36,8.4,-,29,54,27,5.69,0.33
--,1,31,43.3,-,30,17,0,5.82,1.08
--,1,12,23.4,-,30,48,8,6.52,0.48
--,1,23,31,-,30,56,44,5.84,1.61
--,1,49,19.5,-,31,4,22,6.34,1.22
Sig Scl,1,2,26.4,-,31,33,7,5.5,0.08
--,1,34,50.7,-,31,53,32,6.12,1.11
Pi  Scl,1,42,8.6,-,32,19,37,5.25,1.05
--,1,26,58.1,-,32,32,35,5.79,3.86
--,1,58,26.7,-,33,4,0,6.35,1.02
--,1,28,43.3,-,33,45,49,6.58,0.3
--,1,6,26.5,-,35,39,39,6.61,0.14
--,1,38,27.4,-,36,31,42,5.94,1.05
--,1,42,3,-,36,49,57,5.72,-0.01
--,1,32,56,-,36,51,55,5.51,1.02
--,1,47,47.8,-,37,9,35,6.32,1.02
--,1,12,45.4,-,37,51,23,5.92,0.28
--,1,41,27.3,-,38,7,59,6.17,0.42
--,1,49,48.8,-,38,24,14,6.37,0.52
